字词频统计_语料库在线(www.cncorpus.org)
2022/1/21 12:40:05

序号		字词		出现次数		出现频率
1		.		218		9.1213
2		,		131		5.4812
3		/		114		4.7699
4		&lt;		113		4.728
5		&gt;		113		4.728
6		br		113		4.728
7		&#39;		79		3.3054
8		bags		54		2.2594
9		pacifier		46		1.9247
10		I		40		1.6736
11		-		35		1.4644
12		)		27		1.1297
13		honeysuckle		23		0.9623
14		pacifiers		23		0.9623
15		medela		21		0.8787
16		easy		19		0.795
17		(		17		0.7113
18		regalo		17		0.7113
19		!		15		0.6276
20		pump		15		0.6276
21		bed		13		0.5439
22		12		12		0.5021
23		child		12		0.5021
24		safety		12		0.5021
25		doesn		11		0.4603
26		lansinoh		10		0.4184
27		mattress		10		0.4184
28		months		10		0.4184
29		time		9		0.3766
30		wash		9		0.3766
31		brands		8		0.3347
32		didn		8		0.3347
33		don		8		0.3347
34		frog		8		0.3347
35		inspect		8		0.3347
36		rail		8		0.3347
37		regularly		8		0.3347
38		sew		8		0.3347
39		Soothie		8		0.3347
40		started		8		0.3347
41		swallowed		8		0.3347
42		The		8		0.3347
43		They		8		0.3347
44		turtle		8		0.3347
45		We		8		0.3347
46		product		7		0.2929
47		:		6		0.251
48		6		6		0.251
49		bag		6		0.251
50		beds		6		0.251
51		belt		6		0.251
52		boys		6		0.251
53		cents		6		0.251
54		material		6		0.251
55		tear		6		0.251
56		tears		6		0.251
57		top		6		0.251
58		wear		6		0.251
59		worry		6		0.251
60		4		5		0.2092
61		5		5		0.2092
62		animals		5		0.2092
63		baby		5		0.2092
64		experience		5		0.2092
65		fit		5		0.2092
66		flat		5		0.2092
67		friends		5		0.2092
68		hand		5		0.2092
69		legs		5		0.2092
70		life		5		0.2092
71		mouth		5		0.2092
72		supposed		5		0.2092
73		20		4		0.1674
74		accident		4		0.1674
75		adapter		4		0.1674
76		Also		4		0.1674
77		AND		4		0.1674
78		bad		4		0.1674
79		break		4		0.1674
80		caught		4		0.1674
81		cons		4		0.1674
82		cotton		4		0.1674
83		cuddle		4		0.1674
84		daily		4		0.1674
85		difficult		4		0.1674
86		durability		4		0.1674
87		easier		4		0.1674
88		Especially		4		0.1674
89		foam		4		0.1674
90		germs		4		0.1674
91		glad		4		0.1674
92		goo		4		0.1674
93		grime		4		0.1674
94		happen		4		0.1674
95		holding		4		0.1674
96		Just		4		0.1674
97		king		4		0.1674
98		light		4		0.1674
99		memory		4		0.1674
100		mentioned		4		0.1674
101		mouths		4		0.1674
102		needle		4		0.1674
103		nipple		4		0.1674
104		pain		4		0.1674
105		pillow		4		0.1674
106		poly		4		0.1674
107		preference		4		0.1674
108		purchase		4		0.1674
109		push		4		0.1674
110		replace		4		0.1674
111		ripper		4		0.1674
112		ripping		4		0.1674
113		seam		4		0.1674
114		sewed		4		0.1674
115		sewing		4		0.1674
116		sharp		4		0.1674
117		sheets		4		0.1674
118		simply		4		0.1674
119		snip		4		0.1674
120		soft		4		0.1674
121		soothing		4		0.1674
122		spending		4		0.1674
123		stored		4		0.1674
124		strength		4		0.1674
125		suck		4		0.1674
126		suddenly		4		0.1674
127		switched		4		0.1674
128		thimble		4		0.1674
129		This		4		0.1674
130		thread		4		0.1674
131		threads		4		0.1674
132		trapped		4		0.1674
133		twins		4		0.1674
134		ve		4		0.1674
135		When		4		0.1674
136		won		4		0.1674
137		wood		4		0.1674
138		wrapped		4		0.1674
139		?		3		0.1255
140		1		3		0.1255
141		2		3		0.1255
142		23		3		0.1255
143		3		3		0.1255
144		amazon		3		0.1255
145		annoying		3		0.1255
146		bedrail		3		0.1255
147		breastmilk		3		0.1255
148		dropped		3		0.1255
149		isn		3		0.1255
150		oz		3		0.1255
151		prefer		3		0.1255
152		soothed		3		0.1255
153		super		3		0.1255
154		tight		3		0.1255
155		true		3		0.1255
156		upside		3		0.1255
157		writing		3		0.1255
158		，		2		0.0837
159		;		2		0.0837
160		[		2		0.0837
161		]		2		0.0837
162		10		2		0.0837
163		21		2		0.0837
164		50		2		0.0837
165		7		2		0.0837
166		adapters		2		0.0837
167		ahead		2		0.0837
168		alter		2		0.0837
169		attach		2		0.0837
170		aware		2		0.0837
171		Babies		2		0.0837
172		bar		2		0.0837
173		bedrails		2		0.0837
174		biting		2		0.0837
175		brand		2		0.0837
